variable;variable_old;item;text;info
gender;gender;NA;Mit welchem Geschlecht identifizieren Sie sich?;"{""ImportId"":""QID3""}"
age;age;NA;Bitte geben Sie Ihr Alter in Jahren an:;"{""ImportId"":""QID2_TEXT""}"
Bildungsabschluss;Bildungsabschluss;NA;Was ist ihr höchster Bildungsabschluss?;"{""ImportId"":""QID5""}"
Wohnort;Wohnort;NA;Was beschreibt ihren aktuellen Wohnort am ehesten?;"{""ImportId"":""QID6""}"
income;income;NA;Wie hoch ist ihr Bruttojahreseinkommen? (freiwillige Angabe);"{""ImportId"":""QID7""}"
Big5_1;Big5_1;Ich habe eine aktive Vorstellungskraft, bin fantasievoll.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Persönlichkeit zu? - Ich habe eine aktive Vorstellungskraft, bin fantasievoll.;"{""ImportId"":""QID8_8""}"
Big5_2;Big5_2;Ich habe wenig künstlerisches Interesse.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Persönlichkeit zu? - Ich habe wenig künstlerisches Interesse.;"{""ImportId"":""QID8_10""}"
NZV_1;NZV_1;Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein;"{""ImportId"":""QID42_1""}"
NZV_2;NZV_2;Ich vertraue einem System eher als dass ich ihm misstraue;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Ich vertraue einem System eher als dass ich ihm misstraue;"{""ImportId"":""QID42_2""}"
NZV_3;NZV_3;Automatisierte Systeme funktionieren generell gut.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Automatisierte Systeme funktionieren generell gut.;"{""ImportId"":""QID42_3""}"
ATI_1;ATI_1;Ich beschäftige mich gern genauer mit technischen Systemen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich beschäftige mich gern genauer mit technischen Systemen.;"{""ImportId"":""QID9_1""}"
ATI_2;ATI_2;Ich probiere gern die Funktionen neuer technischer Systeme aus.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich probiere gern die Funktionen neuer technischer Systeme aus.;"{""ImportId"":""QID9_2""}"
ATI_3;ATI_3;In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.;"{""ImportId"":""QID9_3""}"
ATI_4;ATI_4;Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.;"{""ImportId"":""QID9_4""}"
ATI_5;ATI_5;Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.;"{""ImportId"":""QID9_5""}"
ATI_6;ATI_6;Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;"{""ImportId"":""QID9_6""}"
ATI_7;ATI_7;Ich versuche zu verstehen, wie ein technisches System genau funktioniert.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich versuche zu verstehen, wie ein technisches System genau funktioniert.;"{""ImportId"":""QID9_7""}"
ATI_8;ATI_8;Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen;"{""ImportId"":""QID9_8""}"
ATI_9;ATI_9;Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.;"{""ImportId"":""QID9_9""}"
MN;MN;NA;Wie oft nutzen Sie digitale Medien?;"{""ImportId"":""QID41""}"
PD_1;PD_1;Verglichen mit anderen mache ich mir viele Sorgen über meine Privatsphäre.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Einstellung zu Privatsphäre zu? - Verglichen mit anderen mache ich mir viele Sorgen über meine Privatsphäre.;"{""ImportId"":""QID13_1""}"
PD_2;PD_2;Verglichen mit anderen bin ich sehr empfindlich, wenn es darum geht, was mit meinen persönlichen Daten passiert.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Einstellung zu Privatsphäre zu? - Verglichen mit anderen bin ich sehr empfindlich, wenn es darum geht, was mit meinen persönlichen Daten passiert.;"{""ImportId"":""QID13_2""}"
PD_3;PD_3;Für mich ist es sehr wichtig, meine Privatsphäre zu schützen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Einstellung zu Privatsphäre zu? - Für mich ist es sehr wichtig, meine Privatsphäre zu schützen.;"{""ImportId"":""QID13_3""}"
EGKI_1;EGKI_1;Ich habe Angst vor künstlicher Intelligenz.;Inwiefern stimmen Sie diesen Aussagen zu künstlicher Intelligenz (KI) zu? - Ich habe Angst vor künstlicher Intelligenz.;"{""ImportId"":""QID14_1""}"
EGKI_2;EGKI_2;Ich vertraue künstlicher Intelligenz.;Inwiefern stimmen Sie diesen Aussagen zu künstlicher Intelligenz (KI) zu? - Ich vertraue künstlicher Intelligenz.;"{""ImportId"":""QID14_2""}"
EGKI_3;EGKI_3;Künstliche Intelligenz wird die Menschheit zerstören.;Inwiefern stimmen Sie diesen Aussagen zu künstlicher Intelligenz (KI) zu? - Künstliche Intelligenz wird die Menschheit zerstören.;"{""ImportId"":""QID14_3""}"
EGKI_4;EGKI_4;Künstliche Intelligenz wird eine Bereicherung für die Menschheit sein.;Inwiefern stimmen Sie diesen Aussagen zu künstlicher Intelligenz (KI) zu? - Künstliche Intelligenz wird eine Bereicherung für die Menschheit sein.;"{""ImportId"":""QID14_4""}"
EGKI_5;EGKI_5;künstliche Intelligenz wird für viel Arbeitslosigkeit sorgen.;Inwiefern stimmen Sie diesen Aussagen zu künstlicher Intelligenz (KI) zu? - künstliche Intelligenz wird für viel Arbeitslosigkeit sorgen.;"{""ImportId"":""QID14_5""}"
EXPKIC_1;EXPKIC_1;Ich habe KI-Chatbots bereits für verschiedene Aufgaben oder Projekte verwendet.;"Inwiefern haben Sie Vorerfahrung mit KI-Chatbots? 
Gemeint sind KI-basierte Anwendungen, mit denen man über Texteingabe kommunizieren kann (z.B. ChatGPT). - Ich habe KI-Chatbots bereits für verschiedene Aufgaben oder Projekte verwendet.";"{""ImportId"":""QID15_1""}"
EXPKIC_2;EXPKIC_2;Ich kenne mich mit den Funktionsweisen und Möglichkeiten von KI-Chatbots aus.;"Inwiefern haben Sie Vorerfahrung mit KI-Chatbots? 
Gemeint sind KI-basierte Anwendungen, mit denen man über Texteingabe kommunizieren kann (z.B. ChatGPT). - Ich kenne mich mit den Funktionsweisen und Möglichkeiten von KI-Chatbots aus.";"{""ImportId"":""QID15_2""}"
EXPKIC_3;EXPKIC_3;Ich fühle mich sicher im Umgang mit KI-Chatbots.;"Inwiefern haben Sie Vorerfahrung mit KI-Chatbots? 
Gemeint sind KI-basierte Anwendungen, mit denen man über Texteingabe kommunizieren kann (z.B. ChatGPT). - Ich fühle mich sicher im Umgang mit KI-Chatbots.";"{""ImportId"":""QID15_3""}"
EZKV_1;EZKV_1;Behörden bearbeiten Anliegen ohne Verzögerung.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden bearbeiten Anliegen ohne Verzögerung.;"{""ImportId"":""QID16_1""}"
EZKV_2;EZKV_2;Behörden handeln transparent und ehrlich.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden handeln transparent und ehrlich.;"{""ImportId"":""QID16_2""}"
EZKV_3;EZKV_3;Die Anträge in Behörden sind klar und verständlich.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Die Anträge in Behörden sind klar und verständlich.;"{""ImportId"":""QID16_3""}"
EZKV_4;EZKV_4;Behörden erledigen ihre Aufgaben sehr gut.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden erledigen ihre Aufgaben sehr gut.;"{""ImportId"":""QID16_4""}"
EZKV_5;EZKV_5;Behörden verarbeiten meine Daten sicher und ausschließlich zweckmäßig.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden verarbeiten meine Daten sicher und ausschließlich zweckmäßig.;"{""ImportId"":""QID16_5""}"
EZKV_6;EZKV_6;Die Interaktion mit Behörden ist frustrierend.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Die Interaktion mit Behörden ist frustrierend.;"{""ImportId"":""QID16_6""}"
BSSZO_1;BSSZO_1;Zuhause bin ich von schönen und persönlichen Gegenständen umgeben.;In den folgenden Fragen geht es um ihre Einstellung zu ihren Gegenständen und Möbeln zuhause. - Zuhause bin ich von schönen und persönlichen Gegenständen umgeben.;"{""ImportId"":""QID17_1""}"
BSSZO_2;BSSZO_2;Wenn es möglich wäre, würde ich meine Wohnung völlig neu einrichten.;In den folgenden Fragen geht es um ihre Einstellung zu ihren Gegenständen und Möbeln zuhause. - Wenn es möglich wäre, würde ich meine Wohnung völlig neu einrichten.;"{""ImportId"":""QID17_2""}"
BSSZO_3;BSSZO_3;Viele Dinge, die mir gehören, bedeuten mir nichts mehr.;In den folgenden Fragen geht es um ihre Einstellung zu ihren Gegenständen und Möbeln zuhause. - Viele Dinge, die mir gehören, bedeuten mir nichts mehr.;"{""ImportId"":""QID17_3""}"
BSSZO_4;BSSZO_4;Mir gehört eigentlich wenig, was mir wirklich gefällt.;In den folgenden Fragen geht es um ihre Einstellung zu ihren Gegenständen und Möbeln zuhause. - Mir gehört eigentlich wenig, was mir wirklich gefällt.;"{""ImportId"":""QID17_4""}"
BSSZO_5;BSSZO_5;An meiner Wohnungseinrichtung kann man erkennen, wer ich bin.;In den folgenden Fragen geht es um ihre Einstellung zu ihren Gegenständen und Möbeln zuhause. - An meiner Wohnungseinrichtung kann man erkennen, wer ich bin.;"{""ImportId"":""QID17_5""}"
EGN_1;EGN_1;Mir ist Nachhaltigkeit wichtig;Wie ist Ihre Einstellung zum Thema Nachhaltigkeit? - Mir ist Nachhaltigkeit wichtig;"{""ImportId"":""QID18_1""}"
EGN_2;EGN_2;Ich setzte nachhaltige Praktiken wie Mülltrennung oder Reycling aktiv in meinem Alltag um;Wie ist Ihre Einstellung zum Thema Nachhaltigkeit? - Ich setzte nachhaltige Praktiken wie Mülltrennung oder Reycling aktiv in meinem Alltag um;"{""ImportId"":""QID18_2""}"
EGN_3;EGN_3;Ich achte auf ein nachhaltiges Konsumverhalten;Wie ist Ihre Einstellung zum Thema Nachhaltigkeit? - Ich achte auf ein nachhaltiges Konsumverhalten;"{""ImportId"":""QID18_3""}"
EGN_4;EGN_4;Ich nutze öffentliche Angebote zur Verbesserung der Nachhaltigkeit;Wie ist Ihre Einstellung zum Thema Nachhaltigkeit? - Ich nutze öffentliche Angebote zur Verbesserung der Nachhaltigkeit;"{""ImportId"":""QID18_4""}"
BIATT_A_1;BIATT_A_1;Ich beabsichtige, die beschriebene KI zu nutzen;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich beabsichtige, die beschriebene KI zu nutzen;"{""ImportId"":""QID19_1""}"
BIATT_A_2;BIATT_A_2;Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen;"{""ImportId"":""QID19_2""}"
BIATT_A_3;BIATT_A_3;Ich würde das System in Zukunft gern nutzen;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich würde das System in Zukunft gern nutzen;"{""ImportId"":""QID19_3""}"
BIATT_A_4;BIATT_A_4;Die Nutzung des Systems ist eine gute Idee;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Die Nutzung des Systems ist eine gute Idee;"{""ImportId"":""QID19_4""}"
BIATT_A_5;BIATT_A_5;Meine Einstellung gegenüber dem System ist positiv;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Meine Einstellung gegenüber dem System ist positiv;"{""ImportId"":""QID19_5""}"
BIATT_A_6;BIATT_A_6;Ich mag die Idee, dass ein solches System eingesetzt wird;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich mag die Idee, dass ein solches System eingesetzt wird;"{""ImportId"":""QID19_6""}"
PW_A_1;PW_A_1;Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.;"{""ImportId"":""QID20_1""}"
PW_A_2;PW_A_2;Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.;"{""ImportId"":""QID20_2""}"
PW_A_3;PW_A_3;Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem dgitalen Endgerät überwachen könnte.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem dgitalen Endgerät überwachen könnte.;"{""ImportId"":""QID20_3""}"
PW_A_4;PW_A_4;Automatisierte Systeme funktionieren generell gut.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Automatisierte Systeme funktionieren generell gut.;"{""ImportId"":""QID20_4""}"
PW_A_5;PW_A_5;Ich bin überzeugt von den Fähigkeiten des Systems.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin überzeugt von den Fähigkeiten des Systems.;"{""ImportId"":""QID20_5""}"
TIA_A_1;TIA_A_1;Ich würde diesem System vertrauen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde diesem System vertrauen.;"{""ImportId"":""QID24_1""}"
TIA_A_2;TIA_A_2;Ich würde mich auf das System verlassen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde mich auf das System verlassen.;"{""ImportId"":""QID24_2""}"
BIATT_B_1;BIATT_B_1;Ich beabsichtige, die beschriebene KI zu nutzen;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich beabsichtige, die beschriebene KI zu nutzen;"{""ImportId"":""QID34_1""}"
BIATT_B_2;BIATT_B_2;Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen;"{""ImportId"":""QID34_2""}"
BIATT_B_3;BIATT_B_3;Ich würde das System in Zukunft gern nutzen;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich würde das System in Zukunft gern nutzen;"{""ImportId"":""QID34_3""}"
BIATT_B_4;BIATT_B_4;Die Nutzung des Systems ist eine gute Idee;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Die Nutzung des Systems ist eine gute Idee;"{""ImportId"":""QID34_4""}"
BIATT_B_5;BIATT_B_5;Meine Einstellung gegenüber dem System ist positiv;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Meine Einstellung gegenüber dem System ist positiv;"{""ImportId"":""QID34_5""}"
BIATT_B_6;BIATT_B_6;Ich mag die Idee, dass ein solches System eingesetzt wird;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich mag die Idee, dass ein solches System eingesetzt wird;"{""ImportId"":""QID34_6""}"
PW_B_1;PW_B_1;Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.;"{""ImportId"":""QID35_1""}"
PW_B_2;PW_B_2;Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.;"{""ImportId"":""QID35_2""}"
PW_B_3;PW_B_3;Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem dgitalen Endgerät überwachen könnte.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem dgitalen Endgerät überwachen könnte.;"{""ImportId"":""QID35_3""}"
PW_B_4;PW_B_4;Automatisierte Systeme funktionieren generell gut.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Automatisierte Systeme funktionieren generell gut.;"{""ImportId"":""QID35_4""}"
PW_B_5;PW_B_5;Ich bin überzeugt von den Fähigkeiten des Systems.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin überzeugt von den Fähigkeiten des Systems.;"{""ImportId"":""QID35_5""}"
TIA_B_1;TIA_B_1;Ich würde diesem System vertrauen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde diesem System vertrauen.;"{""ImportId"":""QID36_1""}"
TIA_B_2;TIA_B_2;Ich würde mich auf das System verlassen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde mich auf das System verlassen.;"{""ImportId"":""QID36_2""}"
USA_B_1;USA_B_1;Mir ist es wichtig, dass kurze Sätze und einfache Wörter verwendet werden.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass kurze Sätze und einfache Wörter verwendet werden.;"{""ImportId"":""QID37_1""}"
USA_B_2;USA_B_2;Mir ist es wichtig, dass das System nicht unvorhersehbar reagiert;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass das System nicht unvorhersehbar reagiert;"{""ImportId"":""QID37_2""}"
USA_B_3;USA_B_3;Mir ist es wichtig weiterführende relevante Informationen zu meiner Frage zu bekommen;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig weiterführende relevante Informationen zu meiner Frage zu bekommen;"{""ImportId"":""QID37_3""}"
USA_B_4;USA_B_4;Mir ist es wichtig, dass das System klar strukturiert und übersichtlich ist;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass das System klar strukturiert und übersichtlich ist;"{""ImportId"":""QID37_4""}"
USA_B_5;USA_B_5;Mir ist es wichtig, dass ich das System bei Erstnutzung schnell verstehe;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass ich das System bei Erstnutzung schnell verstehe;"{""ImportId"":""QID37_5""}"
EZA_B_1;EZA_B_1;Ich gehe davon aus, dass dieser Chatbot zeitsparend ist.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Zeitersparnis zu? - Ich gehe davon aus, dass dieser Chatbot zeitsparend ist.;"{""ImportId"":""QID38_1""}"
EZA_B_2;EZA_B_2;Die Nutzung des Chatbots könnte es mir ermöglichen, Aufgaben schneller zu erledigen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Zeitersparnis zu? - Die Nutzung des Chatbots könnte es mir ermöglichen, Aufgaben schneller zu erledigen.;"{""ImportId"":""QID38_2""}"
BIATT_C_1;BIATT_C_1;Ich beabsichtige, die beschriebene KI zu nutzen;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich beabsichtige, die beschriebene KI zu nutzen;"{""ImportId"":""QID28_1""}"
BIATT_C_2;BIATT_C_2;Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen;"{""ImportId"":""QID28_2""}"
BIATT_C_3;BIATT_C_3;Ich würde das System in Zukunft gern nutzen;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich würde das System in Zukunft gern nutzen;"{""ImportId"":""QID28_3""}"
BIATT_C_4;BIATT_C_4;Die Nutzung des Systems ist eine gute Idee;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Die Nutzung des Systems ist eine gute Idee;"{""ImportId"":""QID28_4""}"
BIATT_C_5;BIATT_C_5;Meine Einstellung gegenüber dem System ist positiv;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Meine Einstellung gegenüber dem System ist positiv;"{""ImportId"":""QID28_5""}"
BIATT_C_6;BIATT_C_6;Ich mag die Idee, dass ein solches System eingesetzt wird;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, mit dem die Kommunalverwaltung Gebührenbescheide erstellt: - Ich mag die Idee, dass ein solches System eingesetzt wird;"{""ImportId"":""QID28_6""}"
PW_C_1;PW_C_1;Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.;"{""ImportId"":""QID29_1""}"
PW_C_2;PW_C_2;Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.;"{""ImportId"":""QID29_2""}"
PW_C_3;PW_C_3;Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem dgitalen Endgerät überwachen könnte.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem dgitalen Endgerät überwachen könnte.;"{""ImportId"":""QID29_3""}"
PW_C_4;PW_C_4;Automatisierte Systeme funktionieren generell gut.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Automatisierte Systeme funktionieren generell gut.;"{""ImportId"":""QID29_4""}"
PW_C_5;PW_C_5;Ich bin überzeugt von den Fähigkeiten des Systems.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphärebedenken im Hinblick auf das KI-System zutreffen: - Ich bin überzeugt von den Fähigkeiten des Systems.;"{""ImportId"":""QID29_5""}"
TIA_C_1;TIA_C_1;Ich würde diesem System vertrauen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde diesem System vertrauen.;"{""ImportId"":""QID30_1""}"
TIA_C_2;TIA_C_2;Ich würde mich auf das System verlassen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde mich auf das System verlassen.;"{""ImportId"":""QID30_2""}"
Q39;Q39;NA;"Herzlichen Dank für Ihre Teilnahme an dieser Umfrage! 

Falls sich Fragen ergeben haben oder Sie eine Anmerkung hinzufügen möchten, nutzen Sie gerne das nachstehende Textfeld:";"{""ImportId"":""QID39_TEXT""}"
FL_15_DO_SzenarioA;FL_15_DO_SzenarioA;Block Randomizer;FL_15 - Block Randomizer - Display Order - SzenarioA;"{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioA""}"
FL_15_DO_SzenarioB;FL_15_DO_SzenarioB;Block Randomizer;FL_15 - Block Randomizer - Display Order - SzenarioB;"{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioB""}"
FL_15_DO_SzenarioC;FL_15_DO_SzenarioC;Block Randomizer;FL_15 - Block Randomizer - Display Order - SzenarioC;"{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioC""}"
